"Family","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Tectiviridae",0,0,0,3,0,38,3,17,0,0,1,0,0,3,104,0,0,0,0,5,0,33,0,3,12,0,0,11,4,1,1,0,1,6,1,0,2,10,0,0,33,2,0,5,7,1,3,0,0,0,72,15,3,0,3,2,32,0,10,0,0,0,6,0,8,1,7,0,0,5,0,0,0,17,0,1,0,0,0,3,5,0,0,4,0,3,1,6,6,0,1,1,3,0,1,0,0,2,2,43,0
"Tristromaviridae",8,2,1,11,1,3,3,8,0,2,2,4,1,14,7,0,0,0,0,0,20,7,3,5,13,0,0,9,5,2,4,0,1,7,9,0,0,7,1,3,3,10,2,7,7,3,0,0,1,0,4,10,7,2,10,26,9,1,7,4,0,1,7,0,0,10,107,0,10,5,4,1,0,10,7,13,1,1,2,10,0,1,0,4,1,10,0,5,0,4,5,1,22,0,0,3,3,1,4,16,0
"Turriviridae",2,0,0,2,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,3,0,3,5,0,2,0,0,6,1,0,5,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,4,0,0,0,0,1,0,0,0,22,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,23,0,6,0,0,1,2,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0
"Bornaviridae",4,0,0,8,1,1,1,0,1,0,1,0,0,7,1,0,1,0,0,12,2,2,1,3,5,0,0,1,4,0,7,0,0,22,8,0,2,3,8,0,2,0,0,2,1,3,3,0,0,1,0,1,4,0,6,1,4,1,5,2,0,0,22,3,1,3,16,0,6,2,5,0,0,0,1,1,1,0,0,3,0,0,1,2,0,3,8,0,2,0,0,4,1,0,0,3,0,4,9,1,0
"Filoviridae",1,0,0,4,0,2,0,2,4,0,3,5,0,4,1,0,0,0,2,2,1,0,3,0,4,0,0,1,3,0,2,0,0,2,2,0,2,0,1,0,3,0,0,0,0,0,1,0,0,1,1,3,3,0,4,5,2,5,1,1,0,0,2,0,1,1,1,0,0,1,1,0,0,6,4,1,0,3,0,2,0,0,0,2,0,14,2,1,0,1,0,1,5,5,0,0,0,5,5,1,0
"Mymonaviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nyamiviridae",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0
"Paramyxoviridae",31,3,3,35,0,9,33,13,34,0,25,13,1,16,133,2,1,0,6,13,9,195,24,13,56,25,3,127,139,16,31,0,0,20,12,2,47,16,3,0,55,37,1,15,45,34,39,0,0,1,185,26,21,0,26,80,39,19,36,17,0,5,20,13,30,14,12,3,15,111,14,3,1,59,9,12,0,9,2,23,12,7,9,22,0,15,18,15,23,39,6,6,36,3,5,5,7,28,12,104,0
"Pneumoviridae",2,2,0,1,0,4,4,3,0,0,1,1,0,1,12,0,0,0,1,1,5,46,1,0,14,4,0,36,2,0,1,0,0,3,0,0,14,4,0,0,3,1,0,0,7,6,2,0,0,0,5,3,0,0,1,5,2,4,1,2,0,0,3,0,3,2,5,0,5,13,1,1,0,22,0,0,0,0,0,0,0,1,0,10,4,7,12,1,0,0,5,0,1,0,1,0,1,1,1,8,0
"Rhabdoviridae",80,5,3,25,10,103,121,19,54,4,58,36,0,25,332,2,2,4,17,32,102,187,39,28,61,32,0,130,104,23,45,0,3,132,38,3,69,56,32,1,124,10,1,100,190,45,36,1,1,0,100,84,59,1,26,170,99,68,44,36,0,3,132,7,96,42,338,3,19,88,49,17,1,362,18,39,2,6,8,48,22,22,1,47,2,34,43,20,34,24,64,20,71,13,7,6,5,73,34,146,0
